--back|--background-secondary|around|
pywal-dis|pywal-discord|buffer|
py|pywal|buffer|
pos|position|around|
re|resize|around|
ena|enable|around|
floa|floating|around|
disco|discord|around|
fo|for_window|around|
tele|telegram|around|
walp|wallpaper|around|
wa|wal|around|
colors-ro|colors-rofi-dark.rasi|file|
wal|wal|file|
con|config|around|
back|background|around|
col|color|around|
au|auto|around|
co|color|around|
zs|zsh-autosuggestions.zsh|file|
zs|zsh-autosuggestions|file|
zsh|zsh|around|
|zsh-syntax-highlighting|file|
plugins_|plugins_configs|file|
pl|plugins|file|
zs|zsh|file|
con|config|around|
sou|source|around|
PLU|PLUGINGS|around|
re|retira_item|clangd|
thi|this_pilha|clangd|
prin|print_escolha|clangd|ƒ
esco|escolha|around|
un|unsigned|clangd|
retu|return|clangd|
uns|unsigned|clangd|
pr|print_pilha|clangd|
thi|this_pilha|clangd|
in|insere_item|clangd|
thi|this_pilha|clangd|
cou|cout|clangd|
retu|return|clangd|
defa|default|clangd|
esco|escolha|clangd|
swi|switch|clangd|
escolha|escolha|clangd|
unsi|unsigned|clangd|
cou|cout|clangd|
ite|itens|clangd|料
cou|cout|clangd|
ocup|ocupied|clangd|料
uns|unsigned|clangd|
ocu|ocupied|clangd|料
cou|cout|clangd|
ocu|ocupied|clangd|料
oc|ocupied|clangd|料
ocu|ocupied|clangd|料
ocu|ocupied|clangd|料
s|std|clangd|
ocu|ocupied|clangd|料
espa|espacos|around|
un|unsigned|clangd|
unsi|unsigned|clangd|
cout|cout|clangd|
zs|zsh|file|
con|config|around|
pl|plugins|file|
zs|zsh|around|
zs|zsh|file|
pl|plugins|file|
vari|variables|around|
navi|navigation|around|
scri|scripts|around|
scrip|script|around|
sc|screen|around|
darculized-all|darculized-all-sites.css|file|
daar|darculized-mediawiki.org.css|file|
da|darculized|file|
cs|css|file|
cs|css|around|
u|user_stylesheets|around|
conte|content|around|
darculized-all|darculized-all-sites.css|file|
da|darculized-sakai.css|file|
da|dark.styl|file|
da|darculized|file|
sty|stylesheets|file|
qu|qutebrowser|file|
confi|config|around|
bin|bind|around|
con|config|around|
Swi|Swiching|around|
|Screenshots|file|
po|poweroff|around|
hi|hibernate|around|
hi|hibernate|around|
backgro|background|around|
cente|center|around|
posi|position|around|
resi|resize|around|
ena|enable|around|
floa|floating|around|
for|for_window|around|
posi|position|around|
ena|enable|around|
floa|floating|around|
for_|for_window|around|
ba|background|around|
xre|xresources|around|
back|background|around|
